State,Week 2016-01-03,Week 2016-01-10,Week 2016-01-17,Week 2016-01-24,Week 2016-01-31,Week 2016-02-07,Week 2016-02-14,Week 2016-02-21,Week 2016-02-28,Week 2016-03-06,Week 2016-03-13,Week 2016-03-20,Week 2016-03-27,Week 2016-04-03,Week 2016-04-10,Week 2016-04-17,Week 2016-04-24,Week 2016-05-01,Week 2016-05-08,Week 2016-05-15,Week 2016-05-22,Week 2016-05-29,Week 2016-06-05,Week 2016-06-12,Week 2016-06-19,Week 2016-06-26,Week 2016-07-03,Week 2016-07-10,Week 2016-07-17,Week 2016-07-24,Week 2016-07-31,Week 2016-08-07,Week 2016-08-14,Week 2016-08-21,Week 2016-08-28,Week 2016-09-04,Week 2016-09-11,Week 2016-09-18,Week 2016-09-25,Week 2016-10-02,Week 2016-10-09,Week 2016-10-16,Week 2016-10-23,Week 2016-10-30,Week 2016-11-06,Week 2016-11-13,Week 2016-11-20,Week 2016-11-27,Week 2016-12-04,Week 2016-12-11,Week 2016-12-18,Week 2016-12-25
Alabama,0,0,0,0,0,0,0,0,3.636363636,0,0,2.570526316,0,0,1.413793103,0,0,0,1.629310345,0,0,3.871892925,0,0,4.054794521,4.355329949,1.875,0,0,0,2.01891253,0,0,0,1.825063078,2.141353383,0,0,3.542857143,0,0,3.014888337,4.081283422,0,0,0,0,0,0,0,0,4.635193133
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.45064378
Arizona,2.364963504,0,0,0,0,0,1.822183099,0,0,0,0,0,0,0,0,2.436241611,0,2.403361345,0.905172414,0,0,2.323135755,0,0,2.31702544,1.319796954,0,0,1.809803922,1.631799163,0,0,1.68612192,0,0,3.881203008,1.719895288,1.358862144,0,0,2.424657534,0,0,0,0,0,0,0,0,0,0,1.39055794
Arkansas,0,0,5.776173285,0,0,0,0,0,0,0,0,0,0,0,2.474137931,0,0,6.991596639,0,6.212121212,0,0,0,4.544329897,0,0,0,6.100740741,0,0,0,0,0,3.621287129,0,0,0,0,0,0,0,0,0,0,0,0,5.309734513,0,0,0,0,0
California,0.525547445,0.492592593,1.097472924,0.869158879,0.319148936,0.639053254,1.822183099,1.07027027,0.290909091,0.668789809,0.860655738,0.623157895,1.394833948,0.587431694,0.618534483,1.033557047,1.717894737,1.638655462,0.362068966,0.850079745,0.407725322,1.858508604,2.443959243,1.880412371,1.59295499,0.923857868,1,0.841481481,0.835294118,0.50209205,0.504728132,1.335205993,1.68612192,0.952970297,0.47098402,0.936842105,2.293193717,0.754923414,3.085714286,0.753246753,0.484931507,2.009925558,1.694117647,0.487951807,1.44137931,1.199161426,0,0.080717489,0.140684411,0.567901235,0.789893617,0.463519313
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53907496,0,0,0,1.567010309,2.46183953,0,0,2.103703704,0,0,1.29787234,2.554307116,0,0,0,0,0,0,0,0,1.212328767,0,0,0,2.124137931,0,0,0,0,0,0,0
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.067114094,0,3.823529412,0,0,0,3.717017208,0,0,0,0,1.875,0,0,0,0,0,5.836575875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.97016861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,2.726315789,0,0,0,0,0,4.260504202,0,3.858054226,1.467811159,0,0,2.663917526,0,2.375634518,2,0,3.619607843,0,0,4.760299625,6.614785992,2.477722772,0,0,0,4.529540481,0,1.657142857,0,0,0,3.578313253,0,3.161425577,0,1.210762332,0,0,0,0
Florida,0.656934307,0.985185185,0.577617329,3.621495327,0,0,0.526408451,0.535135135,0.690909091,0,2.868852459,0.934736842,0.730627306,2.702185792,0.530172414,1.10738255,1.861052632,1.529411765,0,3.138755981,0,0.619502868,1.27510917,1.253608247,3.33072407,0.791878173,0.625,0.315555556,1.11372549,0.50209205,0,0.696629213,1.556420233,0.381188119,0.647603028,0.803007519,0.573298429,1.207877462,1.942857143,0.301298701,1.050684932,0,2.156149733,0.325301205,3.034482759,0.65408805,0.530973451,0.242152466,0.914448669,0.425925926,0,3.244635193
Georgia,0,0,0,0,0,1.118343195,0.971830986,0,2.290909091,0,1.62568306,1.557894737,0.597785978,1.174863388,0.441810345,0.590604027,0,1.201680672,1.448275862,2.092503987,0.407725322,0,0,0,1.15851272,2.639593909,1.125,0,0.974509804,0,1.225768322,1.219101124,1.68612192,1.905940594,2.943650126,2.007518797,1.815445026,0.679431072,0,0.451948052,0,3.751861042,5.082352941,1.138554217,3.186206897,2.071278826,0,0.726457399,0,0.709876543,0,0.772532189
Hawaii,0,0,0,0,0,0,0,8.651351351,0,0,0,0,5.512915129,0,3.799568966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3356974,0,0,0,4.886459209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,10.63829787,0,0,8.918918919,0,0,0,7.789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.875,0,0,0,0,5.631086142,0,0,5.35744323,0,0,0,10.05714286,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,0,0.492592593,0,0,0,1.75739645,0,0.802702703,0.909090909,0.382165605,1.338797814,0.623157895,0.996309963,0,0,0.959731544,3.578947368,1.857142857,0.724137931,0,0.326180258,1.703632887,0,2.193814433,0,1.055837563,0.875,0.841481481,3.480392157,1.882845188,0,1.451310861,2.075226978,0,1.412952061,1.070676692,2.866492147,2.79321663,1.714285714,1.506493506,0.484931507,2.076923077,4.697326203,0.487951807,0.834482759,1.635220126,1.380530973,0.322869955,0.773764259,0.567901235,0,0
Indiana,0,0,0,14.48598131,0,2.50295858,0,2.140540541,2.581818182,0,3.825136612,0,0,5.051912568,1.855603448,1.402684564,3.507368421,0,0,0,0.978540773,2.787762906,2.762736536,1.880412371,2.75146771,1.583756345,2.625,2.419259259,6.403921569,7.280334728,2.884160757,0,1.945525292,1.334158416,1.236333053,4.282706767,5.732984293,1.509846827,4.8,0,8.082191781,0,5.390374332,1.138554217,2.2,4.469601677,1.96460177,0,1.05513308,2.910493827,0,1.699570815
Iowa,0,0,0,0,0,0,0,0,0,0,7.841530055,0,0,0,0,0,0,6.008403361,0,0,1.957081545,0,0,3.917525773,0,0,0,2.734814815,0,4.142259414,0,0,4.539559014,3.24009901,5.475189235,0,0,3.246170678,5.257142857,0,0,0,0,0,0,0,4.194690265,5.165919283,7.034220532,0,0,0
Kansas,0,0,0,0,0,5.325443787,0,0,0,0,0,0,2.856088561,0,0,0,0,0,0,0,0,0,5.844250364,0,0,3.16751269,0,0,13.92156863,0,0,0,4.150453956,0,0,2.944360902,4.013089005,2.868708972,0,0,5.091780822,0,5.467379679,0,4.855172414,0,0,0,0,3.12345679,0,0
Kentucky,0,4.292592593,0,0,0,0,0,0,0,3.439490446,0,0,0,0,0,2.288590604,0,0,0,3.923444976,0,0,0,0,8.833659491,0,2,3.786666667,0,0,0,0,0,2.287128713,4.121110177,7.093233083,3.153141361,0,0,9.34025974,6.62739726,6.699751861,4.543315508,0,7.586206897,0,0,0,1.828897338,0,0,0
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,2.258302583,7.989071038,2.915948276,2.140939597,0,0,3.439655172,0,0,4.026768642,7.969432314,0,0,0,0,0,0,0,0,0,0,2.287128713,0,0,6.115183246,2.340262582,11.42857143,1.657142857,0,0,0,0,0,0,0,0,0,0,0,0
Maine,6.569343066,0,0,0,0,0,0,0,0,0,0,0,0,11.74863388,0,7.382550336,0,0,5.159482759,0,0,0,0,0,0,0,0,5.364444444,0,0,0,5.805243446,0,6.670792079,0,13.38345865,0,0,0,4.971428571,0,0,0,0,0,0,0,3.874439462,5.275665399,0,0,0
Maryland,0,0,0,0,0,2.183431953,0,1.872972973,0,0,0,0,0,2.114754098,0,0,0,2.294117647,0,0,0,0,0,2.977319588,2.46183953,1.319796954,0,2.208888889,0,0,3.821513002,2.496254682,5.706874189,1.334158416,1.17746005,1.338345865,1.815445026,1.434354486,0,0,3.717808219,0,0,1.138554217,2.2,0,1.85840708,0,0,0,0,0
