"","Week 2017-01-01","Week 2017-01-08","Week 2017-01-15","Week 2017-01-22","Week 2017-01-29","Week 2017-02-05","Week 2017-02-12","Week 2017-02-19","Week 2017-02-26","Week 2017-03-05","Week 2017-03-12","Week 2017-03-19","Week 2017-03-26","Week 2017-04-02","Week 2017-04-09","Week 2017-04-16","Week 2017-04-23","Week 2017-04-30","Week 2017-05-07","Week 2017-05-14","Week 2017-05-21","Week 2017-05-28","Week 2017-06-04","Week 2017-06-11","Week 2017-06-18","Week 2017-06-25","Week 2017-07-02","Week 2017-07-09","Week 2017-07-16","Week 2017-07-23","Week 2017-07-30","Week 2017-08-06","Week 2017-08-13","Week 2017-08-20","Week 2017-08-27","Week 2017-09-03","Week 2017-09-10","Week 2017-09-17","Week 2017-09-24","Week 2017-10-01","Week 2017-10-08","Week 2017-10-15","Week 2017-10-22","Week 2017-10-29","Week 2017-11-05","Week 2017-11-12","Week 2017-11-19","Week 2017-11-26","Week 2017-12-03","Week 2017-12-10","Week 2017-12-17","Week 2017-12-24"
"Alabama",0,0,2.5,0,2.01118568232662,1.89923954372624,0,0,2.5821325648415,0,0,0,1.48440748440748,0,0,0,3.24590163934426,1.39751552795031,0,1.67708333333333,1.7315875613748,1.79900744416873,6.98564593301435,2.12341197822142,0,8.64705882352941,4.34782608695652,2.83582089552239,11.5062761506276,0,5.51688311688312,0,3.23404255319149,0,0,2.1859872611465,1.95488721804511,2.30458221024259,2.12158808933002,7.40947075208914,3.04721030042918,0,2.91146589259797,0,1.81786941580756,0,0,2.98671096345515,0,2.16975308641975,0,0
"Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arizona",0,0,0,1.42774566473988,0,0,0,0,0,0,1.134,0,0.848232848232848,0,0,1.25409836065574,0,0,0,0.958333333333333,2.03273322422259,0,1.43540669856459,1.29764065335753,0,0,0,0,0,1.47627416520211,0,2,1.99749687108886,1,0,1.34522292993631,0,0,0,1.46239554317549,0,0,0,0,0,1.07496463932107,0,0,0,0,0,0
"Arkansas",0,0,0,2.17919075144509,0,0,3.12989045383412,0,0,0,3.348,0,0,0,0,0,5.9016393442623,2.57142857142857,0,5.98958333333333,0,0,0,0,4.19329073482428,0,8.17391304347826,2.64676616915423,0,0,5.23636363636364,3.33333333333333,9.51188986232791,0,0,8.40764331210191,3.84461152882206,0,0,0,0,0,0,0,3.24054982817869,0,0,0,0,3.87037037037037,0,0
"California",0.411167512690355,0.0829875518672199,0.4375,0.0751445086705202,0.324384787472036,0.821292775665399,1.0641627543036,0.785964912280702,0.645533141210375,0,1.296,0.526582278481013,0.494802494802495,1.08011869436202,0.381526104417671,0.590163934426229,0.590163934426229,0.503105590062112,0.777777777777778,0.299479166666667,0.903436988543372,0.620347394540943,1.05263157894737,2.12341197822142,2.15654952076677,2.59411764705882,1.91304347826087,1.22885572139303,3.55648535564854,1.77152899824253,1.68311688311688,2,0.760951188986233,1.33333333333333,0.956521739130435,1.7656050955414,2.47619047619048,1.99730458221024,2.05086848635236,2.33983286908078,0.304721030042918,1.63917525773196,2.31204644412192,0.873134328358209,0.474226804123711,0.452616690240453,1.20445344129555,0.578073089700997,0.508196721311475,0.410493827160494,0,0.64968152866242
"Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44979919678715,1.32786885245902,0,0.894409937888199,1,0,1.05400981996727,2.29528535980149,1.43540669856459,1.41560798548094,2.7555910543131,0,0,0.850746268656716,0,0,0,3.16666666666667,1.99749687108886,1,0,1.34522292993631,0,0,1.34367245657568,0,0,1.3659793814433,1.88388969521045,0,0,1.13154172560113,0,0,0.889344262295082,0,0,0
"Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7315875613748,1.79900744416873,0,4.36479128856624,0,0,0,0,0,0,0,5.66666666666667,1.8072590738423,0,0,0,0,0,4.45533498759305,0,3.25035765379113,4.37113402061856,2.99709724238026,0,1.81786941580756,0,4.39271255060729,0,0,0,0,0
"Delaware",6.85279187817259,0,0,0,0,0,0,0,0,0,0,6.58227848101266,0,8.30860534124629,0,0,0,0,0,0,7.52864157119476,0,0,0,0,0,0,6.04975124378109,0,10.481546572935,0,7.33333333333333,7.41927409261577,7.66666666666667,0,0,0,0,0,0,0,0,0,0,7.90378006872852,0,0,0,0,0,0,0
"District of Columbia",0,1.6597510373444,0,0,2.46532438478747,0,0,0,0,0,0,0,0,0,0,0,3.77704918032787,0,0,0,0,0,0,0,2.7555910543131,3.70588235294118,0,0,0,0,0,2,0,2,0,0,0,0,0,3.11977715877437,0,0,0,0,0,0,0,0,0,0,0,0
"Florida",1.09644670050761,0.24896265560166,1.3125,0.826589595375723,1.10290827740492,1.38593155893536,0.594679186228482,2.02105263157895,1.37175792507205,1.57549234135667,0.648,1.05316455696203,0.777546777546778,0.664688427299703,1.67871485943775,1.18032786885246,2.41967213114754,0.279503105590062,0.333333333333333,0.299479166666667,0.30114566284779,1.30272952853598,1.24401913875598,0.707803992740472,1.55750798722045,1.48235294117647,1.1304347826087,0.472636815920398,1.04602510460251,1.77152899824253,0,1.83333333333333,0,1,0.53804347826087,0.420382165605096,0.912280701754386,0.921832884097035,0.777915632754342,0.487465181058496,0.304721030042918,0.40979381443299,2.65457184325109,0.402985074626866,0.632302405498282,0.339462517680339,1.20445344129555,1.15614617940199,0.254098360655738,1.64197530864198,0.504854368932039,0
"Georgia",0.479695431472081,0,0.8125,0,0,0.615969581749049,0,0,0.806916426512968,1.35667396061269,1.134,0,0.424116424116424,1.16320474777448,0,1.99180327868852,0,1.3416149068323,1.66666666666667,2.09635416666667,1.12929623567921,0.558312655086849,0.76555023923445,2.12341197822142,4.31309904153355,1.85294117647059,0,0.472636815920398,1.04602510460251,1.62390158172232,0.935064935064935,1.08333333333333,1.61702127659574,1.16666666666667,1.01630434782609,2.1859872611465,0.716791979949875,0,1.48511166253102,2.53481894150418,0.507868383404864,0,1.88388969521045,0.671641791044776,1.18556701030928,0.565770862800566,2.19635627530364,1.01162790697674,0.508196721311475,0.762345679012346,0,0
"Hawaii",0,0,0,0,0,0,0,0,7.10086455331412,0,0,4.2126582278481,0,0,0,0,0,0,4.66666666666667,0,4.96890343698854,0,0,0,0,0,0,0,8.15899581589958,0,0,0,4.85106382978723,0,0,0,0,0,0,0,0,0,8.56313497822932,0,0,5.37482319660537,0,0,0,0,0,9.96178343949045
"Idaho",0,0,0,3.23121387283237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96890343698854,5.27295285359802,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22165605095541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
