"","Week 2018-01-07","Week 2018-01-14","Week 2018-01-21","Week 2018-01-28","Week 2018-02-04","Week 2018-02-11","Week 2018-02-18","Week 2018-02-25","Week 2018-03-04","Week 2018-03-11","Week 2018-03-18","Week 2018-03-25","Week 2018-04-01","Week 2018-04-08","Week 2018-04-15","Week 2018-04-22","Week 2018-04-29","Week 2018-05-06","Week 2018-05-13","Week 2018-05-20","Week 2018-05-27","Week 2018-06-03","Week 2018-06-10","Week 2018-06-17","Week 2018-06-24","Week 2018-07-01","Week 2018-07-08","Week 2018-07-15","Week 2018-07-22","Week 2018-07-29","Week 2018-08-05","Week 2018-08-12","Week 2018-08-19","Week 2018-08-26","Week 2018-09-02","Week 2018-09-09","Week 2018-09-16","Week 2018-09-23","Week 2018-09-30","Week 2018-10-07","Week 2018-10-14","Week 2018-10-21","Week 2018-10-28","Week 2018-11-04","Week 2018-11-11","Week 2018-11-18","Week 2018-11-25","Week 2018-12-02","Week 2018-12-09","Week 2018-12-16","Week 2018-12-23"
"Alabama",0,0,4.93358633776091,3.66161616161616,0,2.43631436314363,2.39650872817955,0,0,0,0,0,0,0,0,2.68248175182482,0,3.46534653465347,0,0,4.03361344537815,4.00715563506261,0,0,3.44347826086956,4.71428571428571,0,5.24859813084112,0,0,3.36163982430454,2.04081632653061,0,0,0,5.7085020242915,4.02985074626866,0,0,2.50625601539942,0,3.28571428571429,0,2.44897959183673,0,0,0,0,0,2.84244372990354,0
"Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arizona",0,0,0,0,0,0,1.46882793017456,0,0,1.37447405329593,0,0,0,0,1.38556701030928,0,0,0,0,0,0,0,0,2.52336448598131,0,0,2.12687813021703,0,1.32404181184669,0,0,1.20937263794407,0,0,1.35849056603774,0,0,0,0,1.53609239653513,0,1.92857142857143,0.951724137931034,1.46938775510204,1.50537634408602,0,0,0,0,1.67202572347267,0
"Arkansas",4.41274238227147,0,0,0,0,0,0,0,2.3960113960114,0,2.37125748502994,3.10344827586207,0,0,0,4.82846715328467,0,0,0,4.22663551401869,0,0,0,0,3.23478260869565,0,6.38063439065109,14.5794392523364,0,0,0,7.55857898715042,0,11.4206128133705,0,0,0,0,0,0,5.10330578512397,0,0,0,4.19354838709677,2.16666666666667,0,0,0,0,0
"California",0.673130193905817,0.264705882352941,0.246679316888046,1.75757575757576,0.61144578313253,0.471544715447154,1.15960099750623,0.238461538461538,0.413105413105413,0.5890603085554,0.107784431137725,0.344827586206897,0.884210526315789,0.945378151260504,0.593814432989691,0.996350364963504,0.404255319148936,1.8001800180018,2.17241379310345,0.626168224299065,1.51260504201681,1.00178890876565,0.945,1.17757009345794,1.25217391304348,1.27678571428571,1.96327212020033,1.89532710280374,1.05923344947735,1.46067415730337,1.32064421669107,1.8896447467876,2.49171842650104,3.54038997214485,2.71698113207547,1.09311740890688,1.88059701492537,1.45588235294118,3.00811123986095,2.02117420596728,2.41735537190083,2.64285714285714,0.951724137931034,1.56734693877551,1.72043010752688,0.333333333333333,1.41061755146262,1.28115942028986,0.441176470588235,0.2508038585209,0.133620689655172
"Colorado",0,0,0,0,0,0,1.54613466334165,0,0,0,0,0,0,0,0,0,0,0,0,1.56542056074766,1.26050420168067,1.25223613595707,0,1.34579439252336,0,1.47321428571429,0,0,3.97212543554007,2.35955056179775,1.0805270863836,0,0,2.05571030640669,0,0,0,1.13235294117647,0,1.53609239653513,0,0,0,1.56734693877551,0,0,0,0,0,0,0
"Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75912408759124,1.4822695035461,0,0,0,0,0,2.16,0,3.54782608695652,0,0,0,2.1184668989547,1.91011235955056,0,2.19198790627362,2.40579710144928,3.42618384401114,0,0,0,0,0,5.09335899903754,0,3.21428571428571,0,2.49795918367347,0,1.16666666666667,3.05633802816901,3.50434782608696,0,0,0
"Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50202429149797,0,0,0,0,0,0,0,0,10.752688172043,0,0,0,0,0,0
"District of Columbia",0,0,0,0,0,7.85907859078591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6350626118068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43792107795958,0,0,0,0,0,0,0,0,0,8.36012861736334,0
"Florida",0.897506925207756,0.823529411764706,2.31878557874763,0.659090909090909,1.65963855421687,1.41463414634146,1.3142144638404,0.874358974358974,0.991452991452991,0.420757363253857,0.646706586826347,0.344827586206897,0.589473684210526,1.89075630252101,1.64948453608247,2.45255474452555,0.808510638297872,0,0.651724137931035,2.03504672897196,1.00840336134454,1.75313059033989,0.81,1.09345794392523,1.56521739130435,0.392857142857143,1.30884808013356,1.89532710280374,1.05923344947735,0.674157303370786,1.92093704245974,2.34315948601663,0.859213250517598,1.14206128133705,0.452830188679245,0.364372469635628,0,0,0.888760139049826,0.889316650625602,0,3,0.317241379310345,1.81224489795918,0,0,1.14192849404117,1.28115942028986,0.264705882352941,0.501607717041801,0.53448275862069
"Georgia",0,0.5,0,2.48989898989899,0,0,0.850374064837905,0,0.413105413105413,0,0.359281437125749,1.26436781609195,0,0.875350140056022,0,0.91970802919708,0,0,1.30344827586207,1.72196261682243,0.756302521008403,2.62969588550984,4.995,0.672897196261682,1.77391304347826,2.35714285714286,8.18030050083473,2.62429906542056,1.32404181184669,0.561797752808989,0.600292825768668,0,0.687370600414079,1.02785515320334,1.47169811320755,1.21457489878543,1.34328358208955,1.13235294117647,1.57242178447277,3.31472569778633,1.8801652892562,1.07142857142857,0.528735632183908,0.783673469387755,2.36559139784946,0.333333333333333,0,1.20579710144928,0.970588235294118,0.919614147909968,0.53448275862069
"Hawaii",7.4792243767313,0,0,0,0,0,0,0,0,0,3.59281437125748,0,0,0,6.5979381443299,0,4.31205673758865,0,0,0,5.92436974789916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44776119402985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5319587628866,0,4.17730496453901,0,0,6.26168224299065,0,0,6.21,5.97196261682243,0,0,0,7.58130841121495,0,5.1685393258427,0,0,0,0,0,0,5.77611940298507,0,6.83661645422943,0,0,0,0,0,0,0,0,0,0,0,0
"Illinois",0,0,0.690702087286528,1.02525252525253,0,0.707317073170732,0,0,0.743589743589744,0.5890603085554,0.323353293413174,0.574712643678161,0,2.17086834733894,0,0,0.404255319148936,1.84518451845185,1.88275862068966,1.25233644859813,1.00840336134454,1.62790697674419,1.215,0.588785046728972,0.521739130434783,1.27678571428571,2.78130217028381,1.45794392523364,1.05923344947735,1.01123595505618,2.8814055636896,2.94784580498866,1.80434782608696,4.33983286908078,1.81132075471698,2.67206477732794,1.07462686567164,0,3.21320973348783,0.646775745909528,0.805785123966942,1.71428571428571,0,0.685714285714286,0.645161290322581,0.333333333333333,1.71289274106176,0.942028985507246,0.352941176470588,0,0
"Indiana",1.7202216066482,0,1.72675521821632,0,1.48493975903614,1.65040650406504,1.62344139650873,1.66923076923077,0.908831908831909,0,1.54491017964072,1.26436781609195,4.27368421052632,3.50140056022409,1.51752577319588,0,0,2.34023402340234,2.38965517241379,0,0,1.37745974955277,0,5.80373831775701,3.75652173913043,5.00892857142857,2.45409015025042,1.89532710280374,0,2.58426966292135,3.48169838945827,2.72108843537415,2.92132505175983,4.22562674094708,1.47169811320755,1.33603238866397,2.6865671641791,3.72058823529412,1.57242178447277,5.17420596727623,1.8801652892562,0,2.00919540229885,1.66530612244898,0,0.833333333333333,0,0,0,1.92282958199357,0
"Iowa",0,2.20588235294118,0,0,0,0,0,3.65641025641026,0,0,1.72455089820359,0,0,0,0,0,0,0,0,3.44392523364486,3.02521008403361,0,3.51,0,2.81739130434783,3.83035714285714,0,4.37383177570093,0,2.80898876404494,2.76134699853587,3.40136054421769,3.60869565217391,0,3.39622641509434,0,6.04477611940298,0,0,0,0,4.92857142857143,0,0,0,0,0,0,0,0,0
"Kansas",0,0,3.94686907020873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40336134453782,3.38103756708408,0,0,0,0,0,0,0,3.03370786516854,0,0,0,5.13927576601671,0,0,0,3.07352941176471,0,3.96150144369586,0,0,2.43218390804598,3.86938775510204,0,1.83333333333333,0,0,0,0,7.08189655172414
"Kentucky",0,0,2.76280834914611,0,2.44578313253012,0,0,2.7025641025641,1.48717948717949,2.41234221598878,1.25748502994012,0,3.7578947368421,0,2.50721649484536,0,1.61702127659574,3.82538253825383,0,0,0,4.38282647584973,2.43,2.35514018691589,0,2.55357142857143,0,0,2.38327526132404,2.02247191011236,1.92093704245974,2.26757369614512,0,0,2.49056603773585,0,2.28358208955224,4.04411764705882,5.46929316338355,2.82964388835419,0,7.14285714285714,0,2.79183673469388,0,0,3.35861321776815,0,0,3.09324758842444,0
"Louisiana",2.69252077562327,1.58823529411765,0,0,0,2.82926829268293,2.55112219451372,0,1.48717948717949,0,1.25748502994012,2.06896551724138,0,0,2.50721649484536,0,1.61702127659574,3.73537353735374,3.91034482758621,2.3481308411215,2.14285714285714,4.25760286225402,2.295,2.27102803738318,3.75652173913043,0,3.76293823038397,2.91588785046729,2.1184668989547,1.91011235955056,3.72181551976574,6.65154950869237,4.89751552795031,0,0,0,0,0,0,2.7487969201155,0,7.07142857142857,0,2.64489795918367,0,0,3.29144095341278,3.76811594202899,0,0,0
"Maine",0,0,0,0,0,0,0,7.94871794871795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81308411214953,0,0,10.7979966611018,0,0,5.39325842696629,0,0,0,0,0,0,0,0,0,8.0846968238691,0,0,0,0,0,0,0,0,0,0,0
"Maryland",0,1.73529411764706,0,0,0,0,0,0,0,1.31837307152875,0,1.14942528735632,1.91578947368421,0,0,0,0.943262411347518,2.02520252025203,2.02758620689655,1.4088785046729,1.13445378151261,1.12701252236136,1.215,2.4392523364486,1.04347826086957,2.75,0,0,2.38327526132404,1.12359550561798,2.04099560761347,1.28495842781557,0,3.99721448467967,1.35849056603774,2.30769230769231,1.2089552238806,2.26470588235294,1.43568945538818,6.14436958614052,0,0,0,0,0,0,0,0,0,0,0.935344827586207
"Massachusetts",0,0,1.18406072106262,0,0,0,0,0,0,0,0,0,0,0,1.12164948453608,0,0.673758865248227,1.62016201620162,0,0,0,1.8783542039356,2.025,0,0,4.61607142857143,1.63606010016695,5.24859813084112,0,0,3.36163982430454,5.06424792139078,1.11697722567288,1.59888579387187,2.15094339622642,0,0.940298507462687,0.808823529411765,1.162224797219,0,0,3,0.740229885057471,0,0,0.5,0,1.65797101449275,0,0,0
"Michigan",0,0.617647058823529,0,1.61111111111111,0,1.02168021680217,3.09226932668329,0,0.578347578347578,2.80504908835905,0,0.804597701149425,0,2.27591036414566,0.989690721649485,1.14963503649635,0.673758865248227,2.88028802880288,1.52068965517241,3.91355140186916,2.52100840336134,0,2.7,3.53271028037383,1.46086956521739,4.61607142857143,4.25375626043406,2.18691588785047,1.58885017421603,1.57303370786517,1.4407027818448,2.64550264550265,5.06935817805383,2.85515320334262,3.73584905660377,0.850202429149797,3.35820895522388,4.69117647058824,1.98261877172654,2.10202117420597,1.07438016528926,1.35714285714286,2.00919540229885,0,0,0.5,1.2762730227519,0,0,0,0
"Minnesota",0,1.02941176470588,1.72675521821632,2.56313131313131,0,0,0,0,0,0,0,0,0,1.75070028011204,0,1.91605839416058,0,0,0,0,0,0,0,0,2.50434782608696,0,4.90818030050083,0,0,0,0,0,1.63250517598344,0,0,0,0,1.29411764705882,1.70915411355736,0,0,0,0,0,0,0,0,2.37391304347826,0,0,0
