State,Week 2020-01-05,Week 2020-01-12,Week 2020-01-19,Week 2020-01-26,Week 2020-02-02,Week 2020-02-09,Week 2020-02-16,Week 2020-02-23,Week 2020-03-01,Week 2020-03-08,Week 2020-03-15,Week 2020-03-22,Week 2020-03-29,Week 2020-04-05,Week 2020-04-12,Week 2020-04-19,Week 2020-04-26,Week 2020-05-03,Week 2020-05-10,Week 2020-05-17,Week 2020-05-24,Week 2020-05-31,Week 2020-06-07,Week 2020-06-14,Week 2020-06-21,Week 2020-06-28,Week 2020-07-05,Week 2020-07-12,Week 2020-07-19,Week 2020-07-26,Week 2020-08-02,Week 2020-08-09,Week 2020-08-16,Week 2020-08-23,Week 2020-08-30,Week 2020-09-06,Week 2020-09-13,Week 2020-09-20,Week 2020-09-27,Week 2020-10-04,Week 2020-10-11,Week 2020-10-18,Week 2020-10-25,Week 2020-11-01,Week 2020-11-08,Week 2020-11-15,Week 2020-11-22,Week 2020-11-29,Week 2020-12-06,Week 2020-12-13,Week 2020-12-20
Alabama,1.416149068,0,0,0,0,0,1.940372671,0,0,0,0,0,0,0,0,0,4.038004751,0,0,0,0.896309315,0.840248963,1.057208238,2.07480315,0.794117647,1.986949429,1.097560976,0.940331492,0,0,0.820754717,0,0,0,0.922318126,1.905063291,0.98105548,0.806324111,0,0,1.31884058,1.997546012,1.395121951,0,1.378548896,0,1.28,0,0,0,1.388560158
Alaska,0,0,5.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,1.021276596,0,0,0,0,0,0,0,0,0.756440281,0,0.701754386,0,0,0.620795107,0.642392718,0.530973451,0.537785589,0.504149378,0,0,0,0,0,0,0.644628099,0,0.469002695,0,0,0.446280992,0,0,0,0.4743083,0.736842105,0,0.800724638,0,0,0.864864865,0,0.943396226,0,0.387096774,1.074856046,0,0
Arkansas,2.48447205,1.066666667,0,0,0,0,0,0,0,0.525547445,0,0,2.229508197,0,0,0,0,3.636085627,1.927178153,0,0,1.56846473,0,1.874015748,1.474789916,3.562805873,0,3.475138122,0,3.006423983,0,2.746386334,0,1.301652893,3.144266338,0,0,0,0,0,0,1.835582822,0,0,0,0,0,0,0,0,0
California,0.720496894,0.237037037,0.342857143,0.063829787,0.102902375,0.435779817,0.847204969,0.125498008,0.281569966,0,0.881481481,1.044502618,0.358313817,0.142685851,0.925039872,0.850746269,1.13064133,0.709480122,0.098829649,0.371681416,1.075571178,0.616182573,1.434782609,0.937007874,0.226890756,0.959216966,0.841463415,0.858563536,0.752066116,1.753747323,0.469002695,1.547963206,2.098201936,0.632231405,0.880394575,2.348101266,0.706359946,1.090909091,0.921052632,1.286356822,0.942028986,0.593865031,1.141463415,0.324324324,0.689274448,5.587808418,0.96,0.193548387,0.564299424,0.597609562,0.441814596
Colorado,0,0,0,0,0.686015831,0,0,0.432270916,0,0,0,0,0.836065574,0,0,0,0,0.709480122,0.741222367,0,0,1.12033195,0,0.669291339,0,0,0,0.613259669,0,0,0,0.99868594,0,0.483471074,0.586929716,1.240506329,0,0,0.815789474,0.974512744,0.942028986,0.701840491,0,0,0,0,0,0,0,1.344621514,0.946745562
Connecticut,0,0,0.742857143,0,0,0,0,0,0,0,0,0,0,0,1.212121212,0,0,0.975535168,0,0,0.83655536,0,0,0,1.644957983,0,1.097560976,0.940331492,0,1.670235546,0,0,3.275242047,0,1.970406905,0,0,0,0,1.48125937,0,1.052760736,0,0,0,1.596516691,0,0.709677419,1.854126679,2.061752988,0
Delaware,0,0,0,0,0,0,0,0,0,1.357664234,0,0,0,0,0,0,0,0,0,0,0,3.529045643,0,0,0,0,0,4.08839779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.868501529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.192355117,0,0,0,0,0,0,0,0,0,0,7.256894049,0,0,0,0,0
Florida,0.49689441,0.355555556,0.285714286,0.319148936,0,0.52293578,0.765217391,0,0.819112628,0.04379562,1.679012346,1.621727749,0.477751756,0.529976019,1.531100478,1.074626866,0,0.975535168,0.197659298,0.477876106,0.776801406,0.616182573,0.604118993,1.338582677,0.170168067,1.096247961,0.987804878,0,0.859504132,0.91862955,0.312668464,0.299605782,0,0,0.545006165,1.240506329,0.549391069,0.28458498,0.447368421,0.779610195,0.706521739,0.188957055,0.76097561,0.540540541,0.253943218,2.830188679,0.48,0.129032258,0.322456814,0.717131474,0.504930966
Georgia,0,0,0,0.319148936,0,0.566513761,0,0.725099602,0,0.109489051,0,1.484293194,0,0,0.414673046,0,0,1.418960245,0.790637191,0.584070796,0.597539543,0.280082988,0.377574371,0.334645669,0.567226891,1.370309951,0.365853659,0.98121547,0,1.127408994,0.859838275,1.498028909,1.02351314,0.780991736,0,0.664556962,0.667117727,0.28458498,0.815789474,0.467766117,0.894927536,0.674846626,1.437398374,2.108108108,0,3.193033382,0,0,0,0.657370518,0.473372781
Hawaii,0,0,0,0,3.430079156,0,0,0,0,0.919708029,0,0,0,0,0,0,0,0,0,0,2.927943761,0,3.775743707,0,0,3.425774878,0,0,0,0,0,0,5.117565698,0,0,3.056962025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,4.357798165,0,0,0,0,0,0,0,0,3.189792663,0,0,0,0,0,0,2.352697095,0,0,0,0,0,0,0,0,2.305929919,0,0,2.157024793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
